Date,Weight,Contribution
1963-03-01,-0.013437885355043932,0.009463790659853607
1963-06-01,0.045019299033596,0.009125020055910817
1963-09-01,-0.044339859523369,0.009270651017306328
1963-12-01,0.03442112996292254,0.00904097522175157
1964-03-01,0.048527070805268295,0.008784961807784715
1964-06-01,-0.010595553877599887,0.008867238343550073
1964-09-01,0.007337680875736172,0.00881496859827469
1964-12-01,-0.033407737256362355,0.008974521359380936
1965-03-01,0.044570055485341,0.00869438909342843
1965-06-01,-0.03364965051006436,0.008795639727948548
1965-09-01,0.08029167667977193,0.008280008393916908
1965-12-01,-0.02942994195467683,0.008401148433433158
1966-03-01,-0.0007982235043788825,0.008401211455902592
1966-06-01,-0.03563973918695131,0.008414464036333358
1966-09-01,0.10971853524136238,0.008331207043031067
1966-12-01,-0.004966124668586847,0.008337364736733948
1967-03-01,-0.009434610743532081,0.008401967398009635
1967-06-01,0.009416955441837864,0.008370589693665918
1967-09-01,-0.03260227638486569,0.00835042076525358
1967-12-01,-0.009140111787745441,0.008336652561630402
1968-03-01,0.06822298133807982,0.008364826646329551
1968-06-01,-0.0566006825942471,0.008346828218606776
1968-09-01,0.04791564243303639,0.00854057720731833
1968-12-01,0.007544352015012548,0.008562633509630133
1969-03-01,0.02361646216134443,0.008628211455858521
1969-06-01,-0.03433293741107485,0.008412138467401289
1969-09-01,0.09895086077291727,0.008832674637347618
1969-12-01,-0.010898410252036564,0.008768952639750908
1970-03-01,-0.016401533525093152,0.008662459014677132
1970-06-01,0.03943047892045535,0.008840679834331299
1970-09-01,0.00807349001006554,0.008848108144205646
1970-12-01,-0.06765226801480848,0.008507577233735967
1971-03-01,0.039526229766774244,0.008468090592955517
1971-06-01,-0.012481685696119337,0.008471080398684695
1971-09-01,0.019448681294726433,0.008480730456799878
1971-12-01,0.01965719679431311,0.008440699196454274
1972-03-01,0.04091037223151581,0.008388168707048307
1972-06-01,0.03844452060326891,0.008274805603292086
1972-09-01,-0.038531368826278674,0.008328762982982336
1972-12-01,0.004891277233688642,0.008333174785857336
1973-03-01,0.04041976847714386,0.008585035035267273
1973-06-01,-0.006818583903963897,0.008507863000948938
1973-09-01,0.016946683084557126,0.008679958645127845
1973-12-01,0.03404203186141106,0.009211074344233156
